"Summary","Description","Issue Type","Story Points","Original Estimate","Status","Epic Link"
"ZPA Connector Platform","Deploy Zscaler ZPA App Connectors (AWS GovCloud + LGB) and configure the ZPA cloud service objects.","Epic","","","In Progress",""
"Create connector subnets (two /28, 2 AZs) in general-vpc","CloudFormation: two /28 private subnets (172.32.10.192/28, 172.32.10.208/28) across us-gov-west-1a/1b on the existing private route table (NAT egress + TC VPC peering + S3 endpoint), zero new routing.","Task","3","28800","Done","ZPA Connector Platform"
"Deploy GovCloud App Connector ASG from Marketplace AMI","ASG desired=2 (one connector per AZ) from the ZPA Marketplace AMI; m5.large, IMDSv2 required, encrypted gp3 root, rolling updates (MinInService=1) keep >=1 broker live.","Task","5","57600","Done","ZPA Connector Platform"
"Boot-time connector enrollment from SSM provisioning key","Launch-template user-data pulls the provisioning key from SSM Parameter Store (SecureString, with retries) and starts zpa-connector; no secrets in templates.","Task","3","28800","Done","ZPA Connector Platform"
"Fix connector enrollment failure (provision_key ownership)","Connectors would not enroll (usageCount 0): provision_key was written root:root 0600 but the connector runs as the 'zscaler' user. Fixed user-data to chown zscaler:zscaler + chmod 640.","Bug","3","28800","Done","ZPA Connector Platform"
"Verify both GovCloud connectors healthy and authenticated","Confirmed both connectors ZPN_STATUS_AUTHENTICATED in group aws-gc-app-con-grp (172.32.10.200/1a, 172.32.10.215/1b).","Task","1","7200","Done","ZPA Connector Platform"
"Connect to ZPA GOVUS API and build zpa-api.sh helper","Base https://config.zpagov.us, customer 72058199628316672. Creds in SSM (/zscaler/zpa/api/*). Signed helper scripts/zpa-api.sh (token never printed).","Task","3","28800","Done","ZPA Connector Platform"
"Create aws-gc connector group, provisioning key, and dynamic server group","Connector group aws-gc-app-con-grp + provisioning key (to SSM) + dynamic-discovery server group aws-gc-zpa-server-grp for all gc apps.","Task","2","14400","Done","ZPA Connector Platform"
"Rotate ZPA API key (echoed during setup)","The ZPA API client secret was echoed into a terminal during initial storage; rotate it.","Task","1","7200","To Do","ZPA Connector Platform"
"Create LGB connector group and provisioning key","ZPA connector group lgb-pve-zpa-app-con-grp (72058199628316729) + provisioning key for the LGB / corp.jetzero.aero site.","Task","2","14400","Done","ZPA Connector Platform"
"Deploy and enroll two LGB App Connectors (HA pair)","Provision two App Connector hosts in the LGB / corp.jetzero.aero network (Proxmox) for high availability and enroll both into lgb-pve-zpa-app-con-grp using the provisioning key.","Task","5","57600","To Do","ZPA Connector Platform"
"Verify LGB connectors healthy and reach corp resources","Confirm both LGB connectors are authenticated/healthy and can route to the published corp apps (lgb-pve0 10.1.2.20, lgb-dc1, DFS/SMB targets).","Task","2","14400","To Do","ZPA Connector Platform"
"ZPA Application Publishing","Publish internal applications (gc.jetzero.aero, LGB/corp, Tier-4) through the App Connectors, FQDN-based per access group.","Epic","","","In Progress",""
"Restructure gc apps to FQDN-based per access group","Retired the broad *.gc.jetzero.aero all-ports wildcard; republished per group (gc-admin / engineers / jz-all-users) by FQDN so name access maps to the right group.","Story","5","57600","Done","ZPA Application Publishing"
"gc-admin RDP/SSH to all gc servers","gc-admin segment group: by-IP CIDR (172.30.0.0/16 + 172.32.0.0/20) and by-name (*.gc.jetzero.aero) on TCP 22/3389; utility-win0.gc:3389 admin-only.","Story","3","28800","Done","ZPA Application Publishing"
"Engineers Teamcenter access","gc-teamcenter: prd/sandbox/dev1/acp.gc.jetzero.aero on TCP 80/443/3000/4544/8080.","Story","3","28800","Done","ZPA Application Publishing"
"Engineers license server access","gc-license-servers: tc-glo/tc-lic/jz-lic.gc.jetzero.aero, all TCP+UDP ports.","Story","2","14400","Done","ZPA Application Publishing"
"Engineers FSx ONTAP SMB access","gc-fsxtank0-smb: fsxtank0.gc.jetzero.aero:445 (FSx ONTAP SVM SMB LIF 172.30.1.193), in gc-engineers.","Story","2","14400","Done","ZPA Application Publishing"
"gc-ad-services (Kerberos/LDAP/DC-locator) for all users","gc.jetzero.aero + *.gc.jetzero.aero on TCP 53/88/135/389/464 + UDP 53/88/389/464 so domain auth to gc resources works for all authenticated users.","Story","3","28800","Done","ZPA Application Publishing"
"Diagnose and resolve FSx SMB access failure","Engineer SMB to fsxtank0 failed (Windows error 64/53). ZPA Access Log showed BRK_MT_SETUP_FAIL_NO_POLICY_FOUND: root cause was the user not being a member of NX_TC_Security (rule denied before reaching a connector). Fixed by group membership + app assignment + ZCC re-login. Reverted segment to clean 445+FQDN. Documented in troubleshooting.md.","Bug","5","57600","Done","ZPA Application Publishing"
"lgb-pve0 (Proxmox) SSH/HTTP/HTTPS","lgb-pve0 by IP 10.1.2.20 and FQDN lgb-pve0.corp.jetzero.aero on TCP 22/80/443 via a new dynamic lgb server group.","Story","2","14400","Done","ZPA Application Publishing"
